"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Zuid-Beijerland"	10917.00	1/1/1812 0:00:00	1/1/1984 0:00:00	639.00	639.00	8149.00	8.00	90.00	29.00	8325.00	41891.00	
"Zuidbroek [Gr]"	11282.00	1/1/1812 0:00:00	7/1/1965 0:00:00	1240.00		1004.00	1.00	3.00	3.00	25381.00	57626.00	
"Zuidbroek [ZH]"	10751.00	4/1/1817 0:00:00	8/19/1857 0:00:00	1402.00		8208.00	8.00	75.00		10955.00	43918.00	
"Zuiddorpe"	11087.00	1/1/1812 0:00:00	4/1/1970 0:00:00	734.00	734.00	9101.00	9.00	100.00	31.00	5024.00	36144.00	
"Zuidelijke IJsselmeerpolders, Openbaar Lichaam"	10018.00	11/10/1955 0:00:00	1/1/1984 0:00:00	996.00	996.00	12002.00	12.00	129.00	40.00			
"Zuidhorn"	10021.00	1/1/1812 0:00:00	1/1/2009 0:00:00	56.00	56.00	1043.00	1.00	1.00	3.00	22219.00	58489.00	
"Zuidland"	10316.00	1/1/1812 0:00:00	1/1/1980 0:00:00	640.00	640.00	8153.00	8.00	91.00		7590.00	42539.00	
"Zuidlaren"	10002.00	1/1/1812 0:00:00	12/1/1999 0:00:00	136.00	136.00	3031.00	3.00	16.00	7.00	24336.00	56757.00	
"Zuid-Polsbroek"	10229.00	4/1/1817 0:00:00	9/8/1857 0:00:00	1401.00		6080.00	6.00	49.00		11988.00	44381.00	
"Zuidschalkwijk"	11394.00	5/1/1817 0:00:00	9/22/1863 0:00:00	1241.00		7141.00	7.00	62.00		10510.00	48477.00	
"Zuid-Scharwoude"	10159.00	5/1/1817 0:00:00	8/1/1941 0:00:00	1238.00		7045.00	7.00	53.00		11543.00	52266.00	
"Zuid-Waddinxveen"	10081.00	4/1/1817 0:00:00	7/1/1870 0:00:00	1239.00		8062.00	8.00	74.00		10268.00	44909.00	
"Zuidwijk"	10343.00	4/1/1817 0:00:00	1/1/1846 0:00:00	1403.00		8193.00	8.00	74.00		10574.00	45298.00	
"Zuidwolde"	10262.00	1/1/1812 0:00:00	1/1/1998 0:00:00	137.00	137.00	3005.00	3.00	18.00	9.00	22598.00	52053.00	
